epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8081,2.4888,4.39,3.06901,0,0,0,0,1.35699,5.14532,3.63423,2e-05,2e-05,0.09802
2,15.862,2.42165,4.34635,3.07312,0,0,0,0,1.3552,5.10495,3.5677,4.87886e-05,4.87886e-05,0.0950488
3,17.0545,1.91004,4.07179,2.49519,0,0,0,0,1.4356,4.68472,4.0936,7.24371e-05,7.24371e-05,0.0920724
4,18.3379,1.37243,3.70362,1.96933,0.00358,1,0.15617,0.05469,1.41681,4.24455,3.54787,8.75549e-05,8.75549e-05,0.0890876
5,20.3448,1.21135,3.31993,1.81087,0.00345,1,0.36307,0.08138,1.79977,4.00526,3.53555,9.21149e-05,9.21149e-05,0.0860921
6,22.0298,1.03462,3.00974,1.62849,0.00341,1,0.27547,0.07,1.15569,3.83996,2.43422,8.585e-05,8.585e-05,0.0830859
7,23.1712,0.90929,2.86348,1.5884,0.00344,1,0.21451,0.07798,0.92216,3.63659,2.00044,7.04073e-05,7.04073e-05,0.0800704
8,24.4433,0.95078,2.74023,1.59225,0.00335,1,0.16699,0.0615,0.90433,3.70839,2.09975,4.92306e-05,4.92306e-05,0.0770492
9,25.6069,0.98612,2.6588,1.61254,0.00345,1,0.13865,0.02979,1.51541,4.2514,3.38736,2.71795e-05,2.71795e-05,0.0740272
10,26.8051,0.96334,2.56217,1.58469,0.00355,1,0.0966,0.02682,1.73157,4.06832,3.69904,9.92584e-06,9.92584e-06,0.0710099
